label,eiaid,name,utility,source,zipcode,state,latitude,longitude,notes
539f6b35ec4f024411ec9a0f,10494,GENERAL INDUSTRIAL SERVICE,"Borough of Kutztown, Pennsylvania (Utility Company)",http://www.kutztownboro.org/kutztown/uploads/ElectricRatesJanuary2012.pdf,,PA,,,
539f6ba0ec4f024411ec9f97,16088,Domestic TOU - Large Residence; CLOSED RATE,"City of Riverside, California (Utility Company)",http://www.riversideca.gov/utilities/elec-provrate.asp,92509,CA,34.0033,-117.445,"Large Residence (201- 400 Amp)

*(This rate schedule was closed to new customers as of December 14, 2010 and closed to existing customers as of January 1, 2016)

Applicable to qualified individual accommodations devoted primarily to domestic
purposes where services includes lighting, cooling, heating, cooking and power
consuming appliances. Eligible customers must use 9,000 kWh's per year
(average 750/month), sign an authorization/agreement form, and exhibit
exemplary utility payment history."
539f6c58ec4f024411eca86d,2633,Non-Demand Single Phase,"City of Bushnell, Florida (Utility Company)",http://www.cityofbushnellfl.com/Documents/Resident/Utility%20Customer%20Forms/UB%20Rate%20Schedule.pdf,,FL,,,
539f75e6ec4f024411ed1941,17037,Small General/Industrial Service,"City of Shelby, North Carolina (Utility Company)",http://www.cityofshelby.com/govt/dept_customer_services/rates_elec.php,,NC,,,"* Available to the non-residential customer with monthly demand of 100kW or less. 

* Detail charges:see the source.   

* Monthly Charge will be increased by REPS Charge"
539f75f7ec4f024411ed19dd,11292,General Religious Service,"City of Lubbock, Texas (Utility Company)",http://www.lpandl.com/uploads/downloads/TARIFF-10-1-17_LPL_Elec_Rate.pdf,79416,TX,33.5924,-101.9367,"To service provided exclusively to the primary structure used for worship services of any church or religious association. This rate is not available for any other structure owned and operated by a church or religious association that is not primarily use d for worship services. This rate is not applicable to temporary breakdown, standby, supplementary, or to service for which a specific rate schedule is provided.

Subject to Purchased Power Cost Recovery Factor."
539fb4afec4f024bc1dbec8b,10243,Cp-3 Industrial Power Time-of-Day Service,"City of Kiel, Wisconsin (Utility Company)",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=2850,,WI,,,Commitment to Community Rider:  Cp-3 Industrial Power TOD Service $10.00 per customer per month
539fba79ec4f024bc1dc2df9,14605,Commercial Power Service,"City of Peabody, Massachusetts (Utility Company)",http://www.pmlp.com/pdfs/RateP.pdf,01906,MA,42.4633,-71.0111,
539fc2b1ec4f024c27d8b47b,19154,Rate 50 - Commercial GSA-2 (51-1000 kW),Tri-State Electric Member Corp,facts.psc.state.ga.us/Public/GetDocument.aspx?ID=128564,30708,GA,34.9618,-84.6646,
539fc321ec4f024c27d8b8e5,15466,PRIMARY STANDBY SERVICE - SCHEDULE PST,Public Service Co of Colorado,https://www.xcelenergy.com/staticfiles/xe-responsive/Company/Rates%20&%20Regulations/Regulatory%20Filings/PSCo_Electric_Entire_Tariff.pdf,80211,CO,39.7665,-105.0204,"Reservation Fee

Summer: $2.44
Winter: $1.64"
539fc874ec4f024d2f53e6c4,40051,Large Non-Residential LSP POLR,Texas-New Mexico Power Co,http://www.puc.texas.gov/industry/electric/rates/Trans/TNMP.pdf,,NM,,,
539fcae9ec4f024d2f54007c,20211,Industrial TOU,"Village of Waunakee, Wisconsin (Utility Company)",http://www.waunakeeutilities.com/media/2012_Rates_Bill_Stuffer-_UPDATED_REFUSE.pdf,53597,WI,43.1818,-89.4532,"All energy sales are subject to a positive or negative power cost adjustment charge equivalent to the amount of which the current cost of power (per kWh of sales) is greater or lesser than the base cost of power purchased and produced (per kWh sales).


A Commitment to Community fee of $50.00 per month has been added to the Customer Charge of $225.00 and entered in the Fixed Monthly Charge as $275.00."
